Runmode,LOB,SmartCommsTemplateId,Subject,SenderEmail,SignatureTemplateId,NotificationNumber,CaseNumber,PolicyRef,AttachmentSource,RecipientCustomerNumber,RecipientOrgShortName,RecipientOrgName,RecipientOrgABN,RecipientOrgBankAccount,RecipientPhoneNumber,RecipientMobileNumber,RecipientEmail,RecipientAddressStreet,RecipientAddressSuburb,RecipientAddressState,RecipientAddressPostcode,RecipientAddressCountry,FooterText,FooterEmail,SignatureCurrentUserName,SignatureCurrentUseRole,SignatureCompany,SignaturePhoneNumber,SignatureImageId,DefaultAttachmentFileName
Y,Generic,157909509,Our ref: LU000171-01 Acknowledgement of your complaint,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157910003,Our ref: LU000171-01 In house response to your complaint,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157910384,Our ref: LU000171-01 ReplyCorro,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157909506,Our ref: LU000171-01 Acknowledgement of your complaint,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157910563,Our ref: LU000171-01 Outcome of claim assessment,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157909523,Our ref: LU000171-01 Outcome of claim assessment,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157909525,Our ref: LU000171-01 Final request for further information,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157909526,Our ref: LU000171-01 New complaint - notification only,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,Yours faithfully,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157910871,Our ref: LU000171-01 Stage One response to your complaint,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
Y,Generic,157910379,Our ref: LU000171-01 Confirmation of withdrawal,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_AUTO_GENERAL,LU000171,LU000171-01,AU-APOLLO-PROPERTY-2016-COMMERCIAL PROPERTY,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,1 Eagle Street,Brisbane,QLD,4000,Australia,You can call us on 07 3012 3070 or email us at,autogeneral@claims-travel.com.au,Generic Claims Consultant,Claims Consultant,Auto &amp; General Holdings Pty Ltd,P: 07 3012 3070,1320513382,Lloyds IDR Leaflet.PDF
