Runmode,LOB,SmartCommsTemplateId,Subject,SenderEmail,SignatureTemplateId,NotificationNumber,CaseNumber,PolicyRef,AttachmentSource,RecipientCustomerNumber,RecipientOrgShortName,RecipientOrgName,RecipientOrgABN,RecipientOrgBankAccount,RecipientPhoneNumber,RecipientMobileNumber,RecipientEmail,RecipientAddressStreet,RecipientAddressSuburb,RecipientAddressState,RecipientAddressPostcode,RecipientAddressCountry,FooterText,FooterEmail,SignatureCurrentUserName,SignatureCurrentUseRole,SignatureCompany,SignaturePhoneNumber,SignatureImageId,DefaultAttachmentFileName
Y,Motor,157985321,CN006825-01   Motor Claim-New Claim Acknowledgement,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_MOTOR,CN006825,CN006825-01,AU-IcLIC-Motor-2017-TMFMotorV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,motor@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157861661,
Y,Motor,157985330,CN006825-01   Motor Claim-Coverage Acceptance Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_MOTOR,CN006825,CN006825-01,AU-IcLIC-Motor-2017-TMFMotorV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,motor@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157861661,
Y,Motor,157985331,CN006825-01   Motor Claim-Settlement Finalised Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_MOTOR,CN006825,CN006825-01,AU-IcLIC-Motor-2017-TMFMotorV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,motor@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157861661,
Y,Motor,157985332,CN006825-01   Motor Claim-Closure Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_MOTOR,CN006825,CN006825-01,AU-IcLIC-Motor-2017-TMFMotorV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,motor@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157861661,
Y,Motor,157985334,CN006825-01   Motor Claim-Reserve Amount Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_MOTOR,CN006825,CN006825-01,AU-IcLIC-Motor-2017-TMFMotorV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,motor@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157861661,
Y,Motor,157985336,CN006825-01   Motor Claim-Reserve Movement Amount Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_MOTOR,CN006825,CN006825-01,AU-IcLIC-Motor-2017-TMFMotorV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,propertyclaims@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157861661,
Y,Property,157985348,CN006821-01  Property Claim-New Claim Acknowledgement,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_PROPERTY,CN006821,CN006821-01,AU-IcING-Property-2018-TMFPropertyV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,propertyclaims@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157804755,
Y,Property,157985349,CN006821-01  Property Claim-Coverage Acceptance Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_PROPERTY,CN006821,CN006821-01,AU-IcING-Property-2018-TMFPropertyV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,propertyclaims@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157804755,
Y,Property,157985351,CN006821-01  Property Claim-Closure Notice,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_PROPERTY,CN006821,CN006821-01,AU-IcING-Property-2018-TMFPropertyV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,propertyclaims@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157804755,
Y,Liability,157985357,CN006819-01  Injury liability Claim-New Claim Acknowledgement,email_test_gen89-si@gbtpa.com.au,SIG_BLOCK_LIABILITY,CN006819,CN006819-01,AU-ICALLIANCE-LIABILITY-2017-TMFGLLIABILITYV1,https://process.dms.view:123456@gen89-si-esb.gbau.ajgco.com:443/process/dms/document/view/,137,Chubbs,Chubbs,ABN100,ANZ1459789,,74553470,zac_sophios@gbtpa.com.au,"10 Downing St, London City, FortElizibeth",London City,,SW1A2AA,United Kingdom,You can call us on 07 3005 1610 or email us at,liabilityclaims@gbtpa.com.au,Generic Claims Consultant,Claims Consultant,Gallagher Bassett Services Pty Ltd,P: 07 3005 1610,157804755,
